Station,Name,Last Report,Time Since Report,Latitude,Longitude,5-min Precip,10-min Precip,30-min Precip,60-min Precip,3-hour Precip,12-hour Precip
6R6,DRYDEN,20250703142500,00:00:00,30.046,-102.2129,0,0,0,0,3.81,3.81
6R6,DRYDEN,20250703143000,00:00:00,30.046,-102.2129,0,0,0,0,3.81,3.81
6R6,DRYDEN,20250703143500,00:00:00,30.046,-102.2129,0,0,0,0,3.81,3.81
6R6,DRYDEN,20250703144000,00:00:00,30.046,-102.2129,0,0,0,0,3.81,3.81
6R6,DRYDEN,20250703144500,00:00:00,30.046,-102.2129,0,0,0,0,3.81,3.81
6R6,DRYDEN,20250703145000,00:00:00,30.046,-102.2129,0,0,0,0,3.81,3.81
6R6,DRYDEN,20250703145500,00:00:00,30.046,-102.2129,0,0,0,0,3.81,3.81
6R6,DRYDEN,20250703150000,00:00:00,30.046,-102.2129,0.254,0.254,0.254,0.254,4.064,4.064
6R6,DRYDEN,20250703150500,00:00:00,30.046,-102.2129,0.508,0.762,0.762,0.762,4.572,4.572
6R6,DRYDEN,20250703151000,00:00:00,30.046,-102.2129,0,0.508,0.762,0.762,4.572,4.572
6R6,DRYDEN,20250703151500,00:00:00,30.046,-102.2129,0.254,0.254,1.016,1.016,4.572,4.826
6R6,DRYDEN,20250703152000,00:00:00,30.046,-102.2129,0,0.254,1.016,1.016,4.318,4.826
6R6,DRYDEN,20250703152500,00:00:00,30.046,-102.2129,0,0,1.016,1.016,2.54,4.826
6R6,DRYDEN,20250703153000,00:00:00,30.046,-102.2129,0,0,0.762,1.016,1.27,4.826
6R6,DRYDEN,20250703153500,00:00:00,30.046,-102.2129,0,0,0.254,1.016,1.016,4.826
6R6,DRYDEN,20250703154000,00:00:00,30.046,-102.2129,0,0,0.254,1.016,1.016,4.826
6R6,DRYDEN,20250703154500,00:00:00,30.046,-102.2129,0,0,0,1.016,1.016,4.826
6R6,DRYDEN,20250703155000,00:00:00,30.046,-102.2129,0,0,0,1.016,1.016,4.826
6R6,DRYDEN,20250703155500,00:00:00,30.046,-102.2129,0,0,0,1.016,1.016,4.826
6R6,DRYDEN,20250703160000,00:00:00,30.046,-102.2129,0,0,0,0.762,1.016,4.826
6R6,DRYDEN,20250703160500,00:00:00,30.046,-102.2129,0,0,0,0.254,1.016,4.826
6R6,DRYDEN,20250703161000,00:00:00,30.046,-102.2129,0,0,0,0.254,1.016,4.826
6R6,DRYDEN,20250703161500,00:00:00,30.046,-102.2129,0,0,0,0,1.016,4.826
6R6,DRYDEN,20250703162000,00:00:00,30.046,-102.2129,0,0,0,0,1.016,4.826
6R6,DRYDEN,20250703162500,00:00:00,30.046,-102.2129,0,0,0,0,1.016,4.826
6R6,DRYDEN,20250703163000,00:00:00,30.046,-102.2129,0,0,0,0,1.016,4.826
6R6,DRYDEN,20250703163500,00:00:00,30.046,-102.2129,0,0,0,0,1.016,4.826
6R6,DRYDEN,20250703164000,00:00:00,30.046,-102.2129,0,0,0,0,1.016,4.826
6R6,DRYDEN,20250703164500,00:00:00,30.046,-102.2129,0,0,0,0,1.016,4.826
