agency_cd	site_no	dec_lat_va	dec_long_va
USGS	8090800	32.61568907	-97.9258703
USGS	8090830	32.58659444	-97.9199583
USGS	8090905	32.38638889	-97.6522222
USGS	8091000	32.25903188	-97.7025268
USGS	8091500	32.23153166	-97.7772512
USGS	8092000	32.15070534	-97.402794
USGS	8093100	31.8123822	-97.2977882
USGS	8093360	31.8954362	-97.2030634
USGS	8094800	31.9765366	-98.032812
USGS	8095000	31.785991	-97.5680748
USGS	8095200	31.66960575	-97.4694602
USGS	8095300	31.50933179	-97.365845
USGS	8095400	31.5557199	-97.3564004
USGS	8096500	31.53600056	-97.0733325
USGS	8096580	31.53588889	-97.0325417
USGS	8097000	31.3127111	-97.1384222
USGS	8098290	31.13407098	-96.8249826
USGS	8098295	31.07345278	-97.0063972
USGS	8098300	31.02657804	-96.98834133
USGS	8099000	32.36375969	-98.6756166
USGS	8099100	32.1737502	-98.5331058
USGS	8099300	32.11402957	-98.6056067
USGS	8099382	32.04902778	-98.6460556
USGS	8099500	31.9579235	-98.4592116
USGS	8100000	31.78877645	-98.1214319
USGS	8100500	31.4347222	-97.7583333
USGS	8100950	31.3778361	-97.9173472
USGS	8101000	31.2848902	-97.8850244
USGS	8102500	31.07017947	-97.4413967
USGS	8102595	31.0539722	-97.4625278
USGS	8102730	30.99338056	-97.3935417
USGS	8102850	31.29350556	-98.1692306
USGS	8103800	31.0793403	-98.0166919
USGS	8103900	30.91156805	-98.0369676
USGS	8103940	30.97252778	-97.7785278
USGS	8104055	31.018	-97.5262778
USGS	8104100	31.0018485	-97.4925088
USGS	8104300	30.9443472	-97.534075
USGS	8104500	30.9665723	-97.346113
USGS	810464660	30.69775	-97.8492222
USGS	8104700	30.6618646	-97.7114164
USGS	8104900	30.6257499	-97.6911204
USGS	8105095	30.70324685	-97.6663985
USGS	8105505	30.70216667	-97.4341667
USGS	8105700	30.69436146	-97.2788849
USGS	8105872	30.52518056	-97.7499917
USGS	8105883	30.51290556	-97.6864361
USGS	8105886	30.46555556	-97.7878889
USGS	8105888	30.51239444	-97.6366722
USGS	8106050	30.51958333	-97.3384472
USGS	8106350	30.76074836	-97.0138754
USGS	8106500	30.83519047	-96.9466512
USGS	8107950	31.01306944	-97.1100833
USGS	8108250	30.90324377	-96.9791531
USGS	8108700	30.6268665	-96.544135
USGS	8108705	31.1778972	-96.7515333
USGS	8108710	31.1214861	-96.6172417
USGS	8108780	30.87944444	-96.6402778
USGS	8109310	30.63758889	-96.4524611
USGS	8109700	30.33937764	-96.9047037
USGS	8109800	30.40743105	-96.8174791
USGS	8110000	30.3218773	-96.5074683
USGS	8110100	30.41965196	-96.5402466
USGS	8110200	30.359175	-96.1549028
USGS	8110325	31.57434158	-96.5208295
USGS	8110430	31.50684385	-96.3247125
USGS	8110500	31.17018658	-96.2977664
USGS	8110520	31.24730278	-96.2155944
USGS	8110800	30.9737987	-96.2416274
USGS	8111006	30.7576111	-96.297475
USGS	8111051	30.64173333	-96.308125
USGS	8111056	30.5124111	-96.2067
USGS	8111070	30.41840278	-96.1066167
USGS	8111080	30.35330556	-95.9962778
USGS	8111085	30.19580278	-96.3654028
USGS	8111090	30.22	-96.3031722
USGS	8111110	30.21231389	-96.2429583
USGS	8111500	30.12910626	-96.1877387
USGS	8111700	29.88106145	-96.2052402
USGS	8111850	29.80833333	-96.0955556
USGS	8114000	29.5824589	-95.7577275
USGS	8114100	29.56768889	-95.6681417
USGS	8115000	29.47190769	-95.8030067
USGS	8116400	29.51190593	-95.7468942
USGS	8116650	29.34968614	-95.5824635
USGS	8116850	29.1444131	-95.6060571
USGS	8117370	29.66075	-96.2436667
USGS	8117375	29.761675	-96.205325
USGS	8117403	29.4009722	-96.0682917
USGS	8117500	29.31357967	-95.8938421
USGS	8117705	29.11194444	-95.6766667
USGS	8117720	29.01100278	-95.58825
USGS	8117855	29.0417222	-95.8635194
USGS	8117857	29.07003333	-95.7889167
USGS	8117858	28.95151389	-95.7112278
USGS	8117995	32.62874497	-101.2854152
USGS	8119500	32.53915278	-101.0552222
USGS	8120500	32.57372368	-100.9078941
USGS	8121000	32.39261865	-100.8787246
USGS	8123800	32.1992913	-101.0140029
USGS	8123850	32.05374399	-100.762052
USGS	8124000	31.88542168	-100.4806543
USGS	8126380	31.71542973	-100.0264755
USGS	8127000	31.74931697	-99.9478636
USGS	8128000	31.18711186	-100.5020388
USGS	8128030	31.2727611	-100.5042194
USGS	8128400	31.42738264	-100.7112125
USGS	8129300	31.33016396	-100.6403767
USGS	8130500	31.27405465	-100.6309318
USGS	8130700	31.3309973	-100.600931
USGS	8131400	31.30905356	-100.4459254
USGS	8131600	31.4162804	-100.3945511
USGS	8133250	31.8973574	-101.105113
USGS	8133500	31.83013918	-100.9937215
USGS	8134000	31.5926549	-100.6370449
USGS	8134250	31.54265769	-100.5550977
USGS	8136000	31.454606	-100.4106474
USGS	8136500	31.5159908	-99.9195226
USGS	8136700	31.49376898	-99.5739532
USGS	8140700	31.9726444	-99.1303376
USGS	8140860	31.8792472	-99.2778417
USGS	8142000	31.84666667	-99.4246944
USGS	8143500	31.7364 -98.9754889	5
USGS	8143600	31.5173861	-98.740603
USGS	8143990	30.92175	-99.8525
USGS	8144500	30.91907405	-99.785643
USGS	8145000	31.1382357	-99.3350754
USGS	8146000	31.21322316	-98.7194871
USGS	8146500	31.19573577	-98.71200232
USGS	8147000	31.21794515	-98.564484
USGS	8148500	30.5174101	-99.806179
USGS	8149900	30.47901389	-99.7780389
USGS	8150000	30.50435487	-99.7345097
USGS	8150700	30.66073685	-99.1092185
